Names,Cases
Halton,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Hammersmith and Fulham,[21, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Hampshire,[55, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Haringey,[16, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Harrow,[14, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Hartlepool,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Havering,[5, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Herefordshire, County of,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Hertfordshire,[29, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Hillingdon,[13, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Hounslow,[12, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Isle of Wight,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Islington,[11, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Kensington and Chelsea,[43, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Kent,[12, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Kingston upon Hull, City of,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Kingston upon Thames,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Kirklees,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Knowsley,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Lambeth,[26, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Lancashire,[8, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Leeds,[14, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Leicester,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Leicestershire,[5, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Lewisham,[17, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Lincolnshire,[4, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Liverpool,[6, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Luton,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Manchester,[8, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Medway,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Merton,[12, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Middlesbrough,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Milton Keynes,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Newcastle upon Tyne,[5, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Newham,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Norfolk,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
North East Lincolnshire,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
North Lincolnshire,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
North Somerset,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
North Tyneside,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
North Yorkshire,[6, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Northamptonshire,[12, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Northumberland,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Nottingham,[10, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Nottinghamshire,[14, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Oldham,[10, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Oxfordshire,[23, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Peterborough,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Plymouth,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Portsmouth,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Reading,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Redbridge,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Redcar and Cleveland,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Richmond upon Thames,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Rochdale,[4, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Rotherham,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Rutland,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Salford,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Sandwell,[4, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Sefton,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Sheffield,[15, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Shropshire,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Slough,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Solihull,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Somerset,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
South Gloucestershire,[5, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
South Tyneside,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Southampton,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Southend-on-Sea,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Southwark,[33, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
St. Helens,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Staffordshire,[7, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Stockport,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Stockton-on-Tees,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Stoke-on-Trent,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Suffolk,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Sunderland,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Surrey,[25, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Sutton,[11, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Swindon,[2, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Tameside,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
