Names,Cases
53061,2208,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
17031,24546,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06059,1753,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
04013,2846,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06037,16435,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06085,1962,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
25025,9060,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06075,1236,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
55025,386,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06073,2491,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
48029,1126,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
31055,324,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06023,52,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06067,971,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06095,186,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
53063,321,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
49035,1795,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06041,203,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06055,58,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06097,194,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
41067,425,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
53033,5451,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06001,1260,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
12057,982,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
12081,445,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36081,38509,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36047,43738,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36061,27827,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36085,8135,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36005,24231,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06061,133,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06081,958,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
13121,2255,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
25021,4212,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
33009,45,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
53071,36,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06013,763,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
37183,616,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
34003,13686,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36119,25275,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
48157,870,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
53007,88,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
08035,392,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
08059,1064,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
12113,144,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
24031,2868,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
25017,10094,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
32003,3218,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
32031,710,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36059,31555,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
47187,365,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
48201,5211,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
04021,283,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
06113,151,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
08031,2071,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
08037,488,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
08041,774,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
12011,4228,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
12071,793,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
13233,36,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
15003,388,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
18097,4263,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
21067,223,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
27123,219,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
34007,2528,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
36087,9699,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
37037,135,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
40143,437,2020-04-22T00:00:00+00:00,https://github.com/nytimes/covid-19-data
