Names,Cases
Regensburg Stadt,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Rosenheim,[17, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Rosenheim Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Roth,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Rottal-Inn,[14, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Schwabach Stadt,[1, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Schwandorf,[7, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Schweinfurt,[5, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Starnberg,[42, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Straubing Stadt,[4, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Straubing-Bogen,[2, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Tirschenreuth,[17, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Traunstein,[10, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Weiden i.d. OPf.,[6, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Weilheim-Schongau,[13, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Weißenburg-Gunzenhausen,[2, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Würzburg,[26, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Würzburg Stadt,[20, '15/03/2020 12:00', 'https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm']
Merzig-Wadern,[6, '15/03/2020 21:00', 'https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/weitere_coronafaelle_saarland_100.html']
Regionalverband Saarbrücken,[20, '15/03/2020 21:00', 'https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/weitere_coronafaelle_saarland_100.html']
Neunkirchen,[9, '15/03/2020 21:00', 'https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/weitere_coronafaelle_saarland_100.html']
Saarlouis,[10, '15/03/2020 21:00', 'https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/weitere_coronafaelle_saarland_100.html']
Saarpfalz-Kreis,[14, '15/03/2020 21:00', 'https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/weitere_coronafaelle_saarland_100.html']
St. Wendel,[15, '15/03/2020 21:00', 'https://www.sr.de/sr/home/nachrichten/politik_wirtschaft/weitere_coronafaelle_saarland_100.html']
Dresden,[11, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Chemnitz Stadt,[6, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Leipzig Stadt,[31, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Bautzen Landkreis,[14, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Erzgebirgskreis,[2, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Görlitz Landkreis,[6, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Leipzig Landkreis,[11, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Meißen Landkreis,[9, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Mittelsachsen Landkreis,[0, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Nordsachsen Landkreis,[2, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Sächsische Schweiz-Osterzgebirge Landkreis,[9, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Vogtlandkreis,[0, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Zwickau Landkreis,[4, '15/03/2020 16:30', 'https://www.sms.sachsen.de/coronavirus.html']
Barnim,[10, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Brandenburg an der Havel,[0, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Cottbus,[13, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Dahme-Spreewald,[3, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Elbe-Elster,[5, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Frankfurt (Oder),[0, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Havelland,[4, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Märkisch-Oderland,[13, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Oberhavel,[1, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Oberspreewald-Lausitz,[5, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Oder-Spree,[7, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Ostprignitz-Ruppin,[0, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Potsdam,[1, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Potsdam-Mittelmark,[6, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Prignitz,[0, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Spree-Neiße,[10, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Teltow-Fläming,[6, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Uckermark,[0, '15/03/2020 16:00', 'https://msgiv.brandenburg.de/msgiv/de/presse/pressemitteilungen/detail/~15-03-2020-corona-faelle-stand-15032020']
Erfurt,[3, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Saale-Orla-Kreis,[3, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Kyffhäuserkreis,[6, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Saale-Holzland-Kreis,[4, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Ilm-Kreis,[1, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Gera,[1, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Wartburgkreis,[1, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Schmalkalden-Meiningen,[1, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Saalfeld-Rudolstadt,[5, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Nordhausen,[2, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Altenburger Land,[2, '13/03/2020 14:00', 'https://www.tmasgff.de/covid-19']
Ahrweiler,[3, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Altenkirchen (Westerwald),[2, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Alzey-Worms,[8, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Bad Dürkheim,[15, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Bad Kreuznach,[13, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Bernkastel-Wittlich,[4, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Birkenfeld,[0, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Cochem-Zell,[6, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Donnersbergkreis,[2, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Eifelkreis Bitburg-Prüm,[12, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Frankenthal (Pfalz) Stadt,[1, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Germersheim,[4, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Kaiserslautern,[3, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Kaiserslautern Stadt,[6, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Koblenz Stadt,[8, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Kusel,[13, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Landau in der Pfalz Stadt,[0, '13/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Ludwigshafen am Rhein Stadt,[1, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Mainz-Bingen,[17, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Mainz Stadt,[17, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Mayen-Koblenz,[13, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Neustadt an der Weinstraße Stadt,[1, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Neuwied,[10, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Pirmasens Stadt,[0, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rhein-Hunsrück-Kreis,[14, '13/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rhein-Lahn-Kreis,[6, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rhein-Pfalz-Kreis,[1, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Speyer Stadt,[2, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Südliche Weinstraße,[1, '13/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Südwestpfalz,[0, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Trier-Saarburg,[3, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Trier Stadt,[0, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Vulkaneifel,[3, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Westerwaldkreis,[11, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Worms Stadt,[0, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Zweibrücken Stadt,[0, '15/03/2020 11:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Alb-Donau-Kreis,[12, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Baden-Baden Stadt,[5, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Biberach,[5, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Böblingen,[9, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Bodenseekreis,[13, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Breisgau-Hochschwarzwald,[42, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Calw,[34, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Emmendingen,[35, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Enzkreis,[3, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Esslingen,[111, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Freiburg im Breisgau Stadt,[43, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Freudenstadt,[7, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Göppingen,[16, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Heidelberg Stadt,[3, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Heidenheim,[21, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Heilbronn,[47, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Heilbronn Stadt,[4, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Hohenlohekreis,[29, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Karlsruhe,[29, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Karlsruhe Stadt,[14, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Konstanz,[20, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Lörrach,[10, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Ludwigsburg,[38, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Main-Tauber-Kreis,[31, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Mannheim Stadt,[27, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Neckar-Odenwald-Kreis,[10, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Ortenaukreis,[25, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Ostalbkreis,[31, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Pforzheim Stadt,[4, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rastatt,[26, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Ravensburg,[8, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rems-Murr-Kreis,[23, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Reutlingen,[19, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rhein-Neckar-Kreis,[38, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Rottweil,[3, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Schwäbisch Hall,[21, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Schwarzwald-Baar-Kreis,[6, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Sigmaringen,[12, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Stuttgart Stadt,[60, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Tübingen,[41, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Tuttlingen,[5, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Ulm Stadt,[12, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Waldshut,[4, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Zollernalbkreis,[21, '15/03/2020 15:00', 'https://www.swr.de/swraktuell/Karte-Coronavirus-in-Baden-Wuerttemberg-und-Rheinland-Pfalz-Uebersicht,coronavirus-karte-100.html']
Berlin,[283, '14/03/2020 19:30', 'https://interaktiv.morgenpost.de/corona-virus-karte-infektionen-deutschland-weltweit/']
Altmarkkreis Salzwedel,[1, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Anhalt-Bitterfeld,[2, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Börde,[3, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Burgenlandkreis,[2, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Harz,[2, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Jerichower Land,[1, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Mansfeld-Südharz,[1, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Saalekreis,[1, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Salzlandkreis,[2, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Wittenberg,[2, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
Halle (Saale),[9, '13/03/2020 11:48', 'https://verbraucherschutz.sachsen-anhalt.de/hygiene/infektionsschutz/infektionskrankheiten/coronavirus/']
