Names,Cases
Lippe Landkreis,[37, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Märkischer Kreis,[13, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Mettmann Landkreis,[19, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Minden-Lübbecke Landkreis,[47, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Mönchengladbach,[36, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Mülheim an der Ruhr,[9, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Münster,[56, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Oberbergischer Kreis,[19, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Oberhausen,[8, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Olpe Landkreis,[6, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Paderborn Landkreis,[36, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Recklinghausen Landkreis,[47, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Remscheid,[8, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Rhein-Erft-Kreis,[36, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Rheinisch-Bergischer Kreis,[30, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Rhein-Kreis Neuss,[15, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Rhein-Sieg-Kreis,[63, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Siegen-Wittgenstein Landkreis,[10, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Soest Landkreis,[9, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Solingen,[7, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Steinfurt Landkreis,[61, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Unna Landkreis,[14, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Viersen Landkreis,[16, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Warendorf Landkreis,[47, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Wesel Landkreis,[19, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
